review_id,rating,text,your_tag
c5a3d743-fde6-4169-b6fd-17bb09fd7fa5,1,"worse app.....Very High charges, cancellation fees on immediately cancel also there",
4928f534-aa24-4235-90c0-e3dbf001675a,2,Absent credentials. No contact number or customer care number or return option availability mentioned in the app,
de92f12f-1757-446b-92e5-a94135f3612b,2,help section is very poor i want to update my tower number in address but no use reaching out,
a395e96b-6560-48a4-9113-3bb893921e5b,1,most worst experience ever they did not work they laughed and clicked unnecessary pictures,
18c2768c-d09d-4f03-97ad-0b22e027c99c,1,"it took 3 days , 15 emails , 15 phone calls and 3 times for demo installation to be booked and I had to pay Rs 2000 for Billerica water because of this delay. never will recommend UC to anyone. horrible service. they had damaged my AC also during servicing 6 months back",
9730bc50-3a15-4d1f-a274-e799abce80ad,1,"Very disappointing service from Urban Company. I booked a service slot in the morning, but the technician who arrived did not complete the work. Instead, the service was rescheduled, causing unnecessary delay and inconvenience. On top of that, I am now being asked to pay again. This is completely unacceptable. I expected professional and reliable service, but my experience has been a waste of time and money. I hope Urban Company resolves this issue without charging me extra.",
b23d232f-a389-44c0-aa01-c69b2c90bb5f,1,"when you have a problem with a professional, u can't connect to customer care they will suggest talking to a robot and they will give you a prototype answer .This app is so bad.",
4e025db8-44cd-4c09-9aca-b86f9fbdaed3,1,"Worst app I booked an AC ride but I never received a call from the theme They cancelled my booking without informing me and still charged me a 200 cancellation fee. I contacted customer care through messages but I didn't get any response. The driver arrived late and I even waited for him and tried calling, but there was no proper communication. This was a very disappointing experience. Please don't use this urban company",
fd69edb5-163b-4afc-8a0e-dd02f773b82c,1,shame on how you treat your employees. Treat them with respect and transparency.,
6295d67a-4291-4032-a718-0821dce1da68,1,"I have purchased native ro machine on Nov 2025, it is in 2 years warranty. my ro machine is not working properly so I want warranty service from company but the urban company app is not responding with me.",
0eaf04cc-c725-42e4-9c32-336d3dee0e1e,1,"Terrible experience!! This app consistently fails to deliver. I've spent two months dealing with forced cancellations and constant rescheduling requests to later dates. To make matters worse, there is no way to reach an actual human for help. Completely unprofessional and unreliable—I would not recommend this to anyone.",
b0ca32aa-5385-4897-b159-dbbc7cff5d27,1,"Pathetic customer service. They loot you, and u have to keep talking to their BOT, and it will keep repeating the same thing that it doesn't have the data. Then u have to mail them and grab their attention to get it refunded. They will charge you with a cancellation fee when it is been cancelled from their end and also when you cancel it before 12 hours. They just don't want to refund . WASTE OF TIME AND ENERGY.",
3ca98361-2d30-43dd-97cd-656421996e75,1,is there any rating below zero please give UC fom my side.Unprofessional AC service person came and ust short circuitedy Voltas AC.guys don't use their service.,
2c3c62ec-0783-42c2-8f77-0b0d94491e14,1,"They take money for 3 visits for instahelp. No one comes and it is marked completed. When you want to complaint in the app, they just make you type it again and again, with no help. Money goes to waste. pathetic condition",
e900a7e4-6dbd-4096-b412-eee8611e9084,1,pathetic experience and very bad customer service. only bot is available and no customer care. this often happens when you already pay the amount for the service. then they don't give a shot to help you out.,
ff8e3b21-3341-4bb6-81a1-a96596b83984,1,very bad experience No time Value i book 28/06 10 AM slot they Auto cancel at 11 am So Don't Book Local Service Is best Thank You,
6370a83b-506c-465c-91d0-c20cb10d258f,2,"Great job, UC! Your InstaHelp cancels on me twice. Then you charge me cancellation fees! Plus you don't even refund my money made for an earlier booking. And you have the gall to lower my ""rating"" as your client when I complain to your chatbot for answers. Keep it up! I suggest to all people to hire Snabbit maids or get a local bai. But never Urban Clap.",
83714787-659a-4683-a32b-bc9fe3a00c60,1,unprofessional technicians complaints were not rectified at all but charged more than the market price i don't recommend it at all,
cf5c892f-36a5-452d-9a34-e72ce8e37254,1,need to explain issue related to technician how can I contact,
c1c72a5d-456f-40f1-8d23-d4b7f216b1ee,1,"Worst experience with Insta Help. They tempt customers to book maid services using promotional codes, but then cancel the service just one day before, seemingly because the discounted booking earns them less. Instead, they assign the maid to other customers where they can make more money. This has happened to three times in a row. To make matters worse, there is no reliable way to contact customer support or get the issue resolved. I would not recommend their service. extremely unreliable",
