review_id,rating,text,your_tag
7af8d60e-ae90-4083-a590-1ea8f32340de,1,Nowadays Urban Company is not providing the services and and saying some excludes and cancelling the bookings. I have booked service for sofa cleaning initially assigned to one person suddenly it's moved to another person by changing the booking time. at last moment the service agent called and asked to reschedule with some reasons. I have rescheduled as per discussion. Now again not came for schedule and they cancelled directly without my confirmation. then what's the use of membership.,booking rescheduled/cancelled without consent
f18093c9-7c9a-451e-81ae-5ee50ade2020,1,misleading information in Thai massage there's no oil service why don't you remove all the st images there cheap local customers messing with partnrs,misleading service info
6295d67a-4291-4032-a718-0821dce1da68,1,"I have purchased native ro machine on Nov 2025, it is in 2 years warranty. my ro machine is not working properly so I want warranty service from company but the urban company app is not responding with me.",warranty service unresponsive
a3b142b1-c8f3-4a32-b786-303c5d68e6d2,1,Very disappointing experience. My washing machine repair booking was canceled multiple times without any proper explanation. It wasted my time and caused a lot of inconvenience. Customer support was not helpful in resolving the issue. I cannot recommend this service until they improve their reliability and customer service.,booking cancelled repeatedly + poor support
ed2e5c10-65a1-40dc-be57-1e726dead6a1,1,not able to connect M2 pro,unclear (device connectivity)
e900a7e4-6dbd-4096-b412-eee8611e9084,1,pathetic experience and very bad customer service. only bot is available and no customer care. this often happens when you already pay the amount for the service. then they don't give a shot to help you out.,no human support (chatbot only)
728a6fd8-fba4-437b-85d6-3cba63018e2c,1,this not good yeh achcha nahi kar rahe hai ki Bijnor mai aa gaye dhampur mai aane ke invitation dena hoga kya koi problem hai kya humare city se,unclear
dd5384b0-06a8-4cda-9459-9fa369251dc4,1,"Don't install this app , worst app ever , cash on delivery option not available.",missing payment option (COD)
643f3dfc-3314-4bec-b527-526524f912f1,1,"The highest level of unprofessionalism that you can expect from a service company. Broken, unnecessarily complicated processes that add no value.",poor service quality (unprofessional)
ced69549-db13-49d6-83b0-a4f90b60f6ec,2,"UC insta help in 10min, but no slots are available for two' three days",booking availability / SLA not met (insta help delay)
ccbf6b1c-14f4-4afa-af74-0ae3456f118d,1,"Very disappointing experience with Urban Company. The technician visited, checked the refrigerator, and immediately said the sensor was faulty and advised me to call the Haier service team instead. When the Haier technician came, they found that the sensor was perfectly fine,the actual issue was simply low refrigerant gas. This caused unnecessary confusion, wasted my time, and delayed the repair. Urban Company should ensure their technicians diagnose problems accurately before giving conclusion",poor service quality (misdiagnosis)
18c2768c-d09d-4f03-97ad-0b22e027c99c,1,"it took 3 days , 15 emails , 15 phone calls and 3 times for demo installation to be booked and I had to pay Rs 2000 for Billerica water because of this delay. never will recommend UC to anyone. horrible service. they had damaged my AC also during servicing 6 months back",support delay + prior service damage
95dec41e-bb8b-4847-80b5-d2bdef2a2483,1,"Service inspection charges collected from me for laptop are 199/- (with taxes 258/-) given estimation charges 3515/- for bios software upgrade and I found it is exorbitant, on rejecting services they charged me 258/- rupees for doing nothing. Hopeless services rendered by Urban company, and I will never ever recommend to anyone. Simply cheating customers by sending unprofessional service technicians who's moto is to mint money from the opportunity.",pricing dispute (unfair inspection charges)
0f627623-2c51-4e68-a5b3-2e8edae1d73f,1,staffs of urban is very unprofessional,poor service quality (unprofessional staff)
48e1bd35-c330-4e6f-9170-9df405629fd8,1,the app and the customer care team is pathetic worst app for any service a complete team of unprofessional people,no human support + poor service quality
3af2e037-e2d6-400b-a0d6-73df71331315,1,maine 6188 ka owdr kiya jismain maine 2 Rica roll bhi Dale the jismain ki jb owdr aaya toh 2 Rica roll nhi aaye the maine company main complaint dali toh unone bola ki warehouse se refund cancel ho gya hai agr mere pss Rica roll on ki booking aa gyi toh main kya krungi aise toh koi bhi owdr nhi dalega ap logo pr phle bhi owdr kiya th toh usmain Rica ka box khula hua aaya th fir owdr kiya th toh oil khula hua aaya th ab owdr kiya toh Rica roll hi nhi aaye 2 ab btao main kya kru,unclear / possibly mismatched review
